Line #,alphaTrack,alphaField,betaTrack,betaField,deltaTrack,deltaField,gammaTrack,gammaField,x,id,name,houseChoice,house,regChoice,regType,totalAlpha,totalBeta,totalDelta,totalGamma,Expected Output
259,100,40,50,80,50,40,50,40,10,ST010,Jack,2,BETA,2,FIELD,,,,,  Name : Jack
260,100,40,50,80,50,40,50,40,10,ST010,Jack,2,BETA,2,FIELD,,,,,  House: BETA
261,100,40,50,80,50,40,50,40,10,ST010,Jack,2,BETA,2,FIELD,,,,,-------------------------------------------------
262,100,40,50,80,50,40,50,40,10,ST010,Jack,2,BETA,2,FIELD,,,,,
263,100,40,50,80,50,40,50,40,11,ST010,Jack,2,BETA,2,FIELD,,,,,─[ Registering Student 11 of 12 ]─
264,100,40,50,80,50,40,50,40,11,ST011,Kira,3,BETA,2,FIELD,,,,,Enter Student ID: 
265,100,40,50,80,50,40,50,40,11,ST011,Kira,3,BETA,2,FIELD,,,,,Student ID entered: ST011
266,100,40,50,80,50,40,50,40,11,ST011,Kira,3,BETA,2,FIELD,,,,,Enter Full Name: 
267,100,40,50,80,50,40,50,40,11,ST011,Kira,3,BETA,2,FIELD,,,,,Full Name entered: Kira
268,100,40,50,80,50,40,50,40,11,ST011,Kira,3,BETA,2,FIELD,,,,,Select House:
269,100,40,50,80,50,40,50,40,11,ST011,Kira,3,BETA,2,FIELD,,,,,  1. Alpha
270,100,40,50,80,50,40,50,40,11,ST011,Kira,3,BETA,2,FIELD,,,,,  2. Beta
271,100,40,50,80,50,40,50,40,11,ST011,Kira,3,BETA,2,FIELD,,,,,  3. Delta
272,100,40,50,80,50,40,50,40,11,ST011,Kira,3,BETA,2,FIELD,,,,,  4. Gamma
273,100,40,50,80,50,40,50,40,11,ST011,Kira,3,BETA,2,FIELD,,,,,House choice entered: 3
274,100,40,50,80,50,40,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,,House set to: DELTA
275,100,40,50,80,50,40,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,,Select Registration Type:
276,100,40,50,80,50,40,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,,  1. Track
277,100,40,50,80,50,40,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,,  2. Field
278,100,40,50,80,50,40,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,,Registration choice entered: 2
279,100,40,50,80,50,40,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,,Registration type set to: FIELD
280,100,40,50,80,50,40,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,,If (house = DELTA) Then
281,100,40,50,80,50,80,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,,deltaField updated to 80
282,100,40,50,80,50,80,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,,
283,100,40,50,80,50,80,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,, Registration Successful!
284,100,40,50,80,50,80,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,,  Name : Kira
285,100,40,50,80,50,80,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,,  House: DELTA
286,100,40,50,80,50,80,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,,-------------------------------------------------
287,100,40,50,80,50,80,50,40,11,ST011,Kira,3,DELTA,2,FIELD,,,,,
288,100,40,50,80,50,80,50,40,12,ST011,Kira,3,DELTA,2,FIELD,,,,,─[ Registering Student 12 of 12 ]─
289,100,40,50,80,50,80,50,40,12,ST012,Liam,4,DELTA,1,FIELD,,,,,Enter Student ID: 
290,100,40,50,80,50,80,50,40,12,ST012,Liam,4,DELTA,1,FIELD,,,,,Student ID entered: ST012
291,100,40,50,80,50,80,50,40,12,ST012,Liam,4,DELTA,1,FIELD,,,,,Enter Full Name: 
292,100,40,50,80,50,80,50,40,12,ST012,Liam,4,DELTA,1,FIELD,,,,,Full Name entered: Liam
293,100,40,50,80,50,80,50,40,12,ST012,Liam,4,DELTA,1,FIELD,,,,,Select House:
294,100,40,50,80,50,80,50,40,12,ST012,Liam,4,DELTA,1,FIELD,,,,,  1. Alpha
295,100,40,50,80,50,80,50,40,12,ST012,Liam,4,DELTA,1,FIELD,,,,,  2. Beta
296,100,40,50,80,50,80,50,40,12,ST012,Liam,4,DELTA,1,FIELD,,,,,  3. Delta
297,100,40,50,80,50,80,50,40,12,ST012,Liam,4,DELTA,1,FIELD,,,,,  4. Gamma
298,100,40,50,80,50,80,50,40,12,ST012,Liam,4,DELTA,1,FIELD,,,,,House choice entered: 4
299,100,40,50,80,50,80,50,40,12,ST012,Liam,4,GAMMA,1,FIELD,,,,,House set to: GAMMA
300,100,40,50,80,50,80,50,40,12,ST012,Liam,4,GAMMA,1,FIELD,,,,,Select Registration Type:
301,100,40,50,80,50,80,50,40,12,ST012,Liam,4,GAMMA,1,FIELD,,,,,  1. Track
302,100,40,50,80,50,80,50,40,12,ST012,Liam,4,GAMMA,1,FIELD,,,,,  2. Field
303,100,40,50,80,50,80,50,40,12,ST012,Liam,4,GAMMA,1,FIELD,,,,,Registration choice entered: 1
304,100,40,50,80,50,80,50,40,12,ST012,Liam,4,GAMMA,1,TRACK,,,,,Registration type set to: TRACK
305,100,40,50,80,50,80,50,40,12,ST012,Liam,4,GAMMA,1,TRACK,,,,,If (house = GAMMA) Then
306,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,,,,,gammaTrack updated to 100
307,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,,,,,
308,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,,,,, Registration Successful!
309,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,,,,,  Name : Liam
310,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,,,,,  House: GAMMA
311,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,,,,,-------------------------------------------------
312,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,,,,,
313,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,140,,,,totalAlpha := 100 + 40 = 140
314,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,140,130,,,totalBeta := 50 + 80 = 130
315,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,140,130,130,,totalDelta := 50 + 80 = 130
316,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,140,130,130,140,totalGamma := 100 + 40 = 140
317,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,140,130,130,140,-------------------------------------------------
318,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,140,130,130,140,           FINAL REGISTRATION SUMMARY            
319,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,140,130,130,140,-------------------------------------------------
320,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,140,130,130,140,"  ALPHA HOUSE - Track Athletes: 2, Field Athletes: 1, Total: $140.00"
321,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,140,130,130,140,"  BETA HOUSE - Track Athletes: 1, Field Athletes: 2, Total: $130.00"
322,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,140,130,130,140,"  DELTA HOUSE - Track Athletes: 1, Field Athletes: 2, Total: $130.00"
323,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,140,130,130,140,"  GAMMA HOUSE - Track Athletes: 2, Field Athletes: 1, Total: $140.00"
324,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,140,130,130,140,      Thank you for using the system. Goodbye!   
325,100,40,50,80,50,80,100,40,12,ST012,Liam,4,GAMMA,1,TRACK,140,130,130,140,-------------------------------------------------
